StudentNo,test_Score,Score1,Time1,Score2,Time2,Score3,Time3,Score4,Time4,Score5,Time5,Score6,Time6,Score7,Time7,Score8,Time8,Score9,Time9,Score10,Time10,correct_score,performance_score,rule_score,final_score,commit_times,commit_details
221801206,0,0,2147483647,0,2147483647,0,2147483647,0,2147483647,0,2147483647,0,2147483647,0,2147483647,0,2147483647,0,2147483647,0,2147483647,0,0,3,3,16,"{""11"":""Update WordCount.h\n\noutput wordcount to file\n"",""12"":""Update function.cpp\n\nadd a function that can sort map (study from website)\n"",""13"":""Create function.cpp\n\nadd function file\n"",""14"":""Create WordCount.h\n\nadd head file\n"",""15"":""Create WordCount.cpp\n\ncount char,enter and word\n"",""0"":""update markdown file\n\nupdate\n"",""1"":""Update WordCount.h\n\nupdate\n"",""2"":""Update WordCount.h\n\nupdate\n"",""3"":""arrange\n\narrange file\n"",""4"":""Revert \""Create README.md\""\n\nThis reverts commit 38a2fed1aab3ecc35823af6a2b3ddb56925cd994.\n"",""5"":""Revert \""change place\""\n\nThis reverts commit e9232d8f9e3d22958edddc3631d02d8011de92f4.\n"",""6"":""change place\n"",""7"":""Create README.md\n\nadd README.md\n"",""8"":""delete txt\n\ndelete txt\n"",""9"":""Delete function.cpp\n\nI delete this cpp,because some error come when I compile it.\n"",""10"":""final program\n\naccording the input.txt, WordCount.cpp can count character,word,line..\n""}"
221801319,0,0,-3,0,-3,0,-3,0,-3,0,-3,0,-3,0,-3,0,-3,0,-3,0,-3,0,0,0,0,2,"{""0"":""Update README.md"",""1"":""说明\n\n我之前传错位置了，然后重新上传一下\n""}"
221801235,0,0,-3,0,-3,0,-3,0,-3,0,-3,0,-3,0,-3,0,-3,0,-3,0,-3,0,0,3,3,12,"{""0"":""Update codestyle.md"",""11"":""Create 221801235"",""1"":""Update README.md"",""2"":""Update codestyle.md"",""3"":""添加 统计文件中各单词出现的次数 功能"",""4"":""添加 统计文件的单词总数 功能"",""5"":""添加统计文件的有效行数功能"",""6"":""Update WordCount.cpp\n\n统计文件的字符数"",""7"":""Create codestyle.md"",""8"":""Create README.md"",""9"":""Create WordCount.cpp"",""10"":""Delete 221801235""}"
221801203,0,0,2786,0,2292,0,2281,0,3313,0,2476,0,2298,0,2264,0,3384,0,2204,0,2256,0,0,3,3,17,"{""11"":""第一次commit\n\n统计字符数以及命令行程序，完成了文件操作\n"",""12"":""代码规范\n"",""13"":""复制了文件目录\n"",""14"":""Create 221801203"",""15"":""Delete 221801203"",""16"":""Create 221801203"",""0"":""Update README.md\n"",""1"":""第十次commit\n\n封装程序，因为单元测试需要封装的程序\n"",""2"":""第九次commit\n\n考虑了换行符的问题\n"",""3"":""第八次commit\n\n考虑到windows换行符的问题，将文件读取改为二进制\n"",""4"":""第七次commit\n\n进行了微调，程序功能大致完成\n"",""5"":""第六次commit\n\n增加了排序功能\n"",""6"":""第五次commit\n\n把大写变成小写\n"",""7"":""第四次commit\n\n增加了行数统计\n"",""8"":""第三次commit\n\n记录单词数\n"",""9"":""Revert \""Update WordCount.cpp\""\n\nThis reverts commit aa8a1de8174d11c3a23fa102346bd1a68b0cc889.\n"",""10"":""Update WordCount.cpp\n""}"
221801105,0,0,-3,0,-3,0,-3,0,-3,0,-3,0,-3,0,-3,0,-3,0,-3,0,-3,0,0,0,0,2,"{""0"":""Update cir.cpp\n"",""1"":""弄错要求\n""}"
221801231,0,0,-3,0,-3,0,-3,0,-3,0,-3,0,-3,0,-3,0,-3,0,-3,0,-3,0,0,3,3,17,"{""11"":""增加计算单词次数函数\n"",""12"":""添加计算行数函数\n"",""13"":""添加计算字符函数\n"",""14"":""创建基本类\n"",""15"":""codestyle\n"",""16"":""221801231\n"",""0"":""修改细节支持在dev上运行\n"",""1"":""修改冒号细节\n"",""2"":""更改readme文件\n"",""3"":""更改细节\n"",""4"":""更改比较函数\n"",""5"":""增加命令行输入\n"",""6"":""添加接口封装\n"",""7"":""增加排序\n"",""8"":""增加行数统计\n"",""9"":""删除word类\n"",""10"":""改用map类\n""}"
221801232,0,0,-3,0,-3,0,-3,0,-3,0,-3,0,-3,0,-3,0,-3,0,-3,0,-3,0,0,3,3,11,"{""0"":""Update codestyle.md\n"",""1"":""final update\n"",""2"":""更新修补缺漏\n"",""3"":""修补测试缺漏\n"",""4"":""新增文档说明\n"",""5"":""更新代码规范\n"",""6"":""Fix some problems\n"",""7"":""improve some functions\n"",""8"":""add sort words frequency function\n"",""9"":""Update WordCount.py\n"",""10"":""first commit\n""}"
221801211,0,0,-3,0,-3,0,-3,0,-3,0,-3,0,-3,0,-3,0,-3,0,-3,0,-3,0,0,3,3,19,"{""11"":""完成了通国际文件有效行数\n"",""12"":""完成统计字符函数\n"",""13"":""完成统计单词总数函数\n"",""14"":""完成头文件中函数的声明\n"",""15"":""创建了main，.h,.cpp三个文件\n"",""16"":""新建文件夹\n"",""17"":""Delete 221801211"",""18"":""Create 221801211"",""0"":""按字母排序函数BUG修改，大小写转化BUG修改\n"",""1"":""文件名修改\n"",""2"":""修改格式\n"",""3"":""程序微调\n"",""4"":""代码微调\n"",""5"":""readme、codestyle的更新、代码的微调\n"",""6"":""程序优化\n"",""7"":""代码优化\n"",""8"":""完成代码\n"",""9"":""测试用main的更改\n"",""10"":""头文件宏定义的添加\n""}"
221801135,0,0,640,0,257,0,279,0,149,0,254,0,284,0,99,0,165,0,288,0,309,0,0,3,3,21,"{""11"":""Update Lib.cpp\n\n对头文件定义的函数添加实现，等待类的封装"",""12"":""Update lib.h\n\n头文件划分，下一步用类的封装"",""13"":""Create WordCount.cpp\n\n改为命令行参数输入，in.txt out.txt"",""14"":""Update and rename Main.cpp to WordCount.cpp\n\n完成样例demo，等待封装接口和单元测试"",""15"":""Create lib.h"",""16"":""Create Lib.cpp"",""17"":""Create Main.cpp"",""18"":""Update and rename README to README.md"",""19"":""Create codestyle.md"",""0"":""Create codestyle.md"",""1"":""Update codestyle.md"",""2"":""Update README.md"",""3"":""Update README.md"",""4"":""Update WordCount.cpp\n\n增加了不是用命令行参数输入的方法，并且修改了新的输出方式"",""5"":""Update lib.h"",""6"":""Update Lib.cpp\n\n添加三个新的输出函数"",""7"":""Update lib.h\n\n完成类的封装，把文件操作改入类的构建和解构函数中"",""8"":""Update Lib.cpp\n\n完成类的封装，把文件操作改入类的构建和解构函数中"",""9"":""Update WordCount.cpp\n\n源程序完成类的封装"",""20"":""Create README"",""10"":""Update WordCount.cpp\n\n功能划分完毕，等待类的封装""}"
221801212,0,0,71697,0,111516,0,2147483647,0,19911,0,2147483647,0,2147483647,0,2456,0,24331,0,2147483647,0,2147483647,0,0,3,3,14,"{""11"":""Create keep"",""12"":""Delete keep"",""13"":""Create keep"",""0"":""修复单词数小于10时越界BUG"",""1"":""修复读取字符，行数BUG，并优化可以大文件读取"",""2"":""Add files via upload"",""3"":""Delete codestrandard"",""4"":""Create codestrandard"",""5"":""Delete keep"",""6"":""实现大小写一起统计"",""7"":""Delete WordCount.cpp"",""8"":""Create keep"",""9"":""Delete keep"",""10"":""Add files via upload""}"
221801232,0,0,196,0,236,0,266,0,158,0,235,0,258,0,103,0,158,0,276,0,289,0,0,3,3,11,"{""0"":""Update codestyle.md\n"",""1"":""final update\n"",""2"":""更新修补缺漏\n"",""3"":""修补测试缺漏\n"",""4"":""新增文档说明\n"",""5"":""更新代码规范\n"",""6"":""Fix some problems\n"",""7"":""improve some functions\n"",""8"":""add sort words frequency function\n"",""9"":""Update WordCount.py\n"",""10"":""first commit\n""}"
